iter	Passed	Remaining
356	426	768
357	428	768
358	429	766
359	431	767
360	432	766
361	434	766
362	435	764
363	436	763
364	437	761
365	438	760
366	439	758
367	440	756
368	441	755
369	442	754
370	443	752
371	444	750
372	445	748
373	446	746
374	447	746
375	448	744
376	449	743
377	450	741
378	452	740
379	454	740
380	455	739
381	456	738
382	457	737
383	458	735
384	459	734
385	460	732
386	461	730
387	461	728
388	463	727
389	464	726
390	465	724
391	465	722
392	466	720
393	467	718
394	468	717
395	469	715
396	470	714
397	471	712
398	472	711
399	473	709
400	474	708
401	475	707
402	476	706
403	478	705
404	478	703
405	479	701
406	480	699
407	481	698
408	481	696
409	482	694
410	483	693
411	484	691
412	485	690
413	487	689
414	488	688
415	489	687
416	490	686
417	492	685
418	493	684
419	494	683
420	495	681
421	496	680
422	497	679
423	500	680
424	502	679
425	505	680
426	506	679
427	507	678
428	508	676
429	509	675
430	510	674
431	511	673
432	513	672
433	514	670
434	515	669
435	517	668
436	518	668
437	519	666
438	520	665
439	521	663
440	522	662
441	523	661
442	524	660
443	526	659
444	527	657
445	528	656
446	530	655
447	531	654
448	532	653
449	535	653
450	536	652
451	537	651
452	538	649
453	542	652
454	544	652
455	545	651
456	547	650
457	548	648
458	549	647
459	550	645
460	551	644
461	552	643
462	553	641
463	554	640
464	555	639
465	557	638
466	558	636
467	559	635
468	560	634
469	561	633
470	562	631
471	563	630
472	564	629
473	565	627
474	566	626
475	567	624
476	569	624
477	571	624
478	573	623
479	574	622
480	575	621
481	576	620
482	578	618
483	579	617
484	580	616
485	582	616
486	586	617
487	587	616
488	589	616
489	590	614
490	591	613
491	593	612
492	594	611
493	596	610
494	597	609
495	598	607
496	599	606
497	599	604
498	600	603
499	601	601
500	603	600
501	604	599
502	605	598
503	606	597
504	607	595
505	608	594
506	609	592
507	611	591
508	612	590
509	613	589
510	615	589
511	616	587
512	617	586
513	618	584
514	619	583
515	620	582
516	621	580
517	622	579
518	624	578
519	625	577
520	626	576
521	627	574
522	628	573
523	629	571
524	630	570
525	631	569
526	632	567
527	633	566
528	635	565
529	636	564
530	637	562
531	638	561
532	639	560
533	640	559
534	642	558
535	644	557
536	645	556
537	646	555
538	647	553
539	648	552
540	649	551
541	650	549
542	652	548
543	653	547
544	654	546
545	655	545
546	657	544
547	658	543
548	659	541
549	660	540
550	661	539
551	662	537
552	663	536
553	664	534
554	666	534
555	667	533
556	669	532
557	670	530
558	671	529
559	672	528
560	673	526
561	673	525
562	675	523
563	676	523
564	677	521
565	678	520
566	681	520
567	682	519
568	684	518
569	686	517
570	687	516
571	688	514
572	693	516
573	696	516
574	697	515
575	698	514
576	700	513
577	701	512
578	704	512
579	707	512
580	708	510
581	709	509
582	710	508
583	712	507
584	715	507
585	717	507
586	722	508
587	723	507
588	725	506
589	727	505
590	729	504
591	730	503
592	731	502
593	733	501
594	734	500
595	735	498
596	737	497
597	738	496
598	741	496
599	743	495
600	744	494
601	745	492
602	746	491
603	747	490
604	748	488
605	749	487
606	750	485
607	751	484
608	752	483
609	753	482
610	755	480
611	756	479
612	757	478
613	758	476
614	759	475
615	760	474
616	761	472
617	764	472
618	766	471
619	769	471
620	771	470
621	772	469
622	773	468
623	774	466
624	776	465
625	777	464
626	777	462
627	778	461
628	779	459
629	780	458
630	781	457
631	783	455
632	784	454
633	785	453
634	786	452
635	787	450
636	789	449
637	790	448
638	791	446
639	792	445
640	794	444
641	796	444
642	797	442
643	799	441
644	800	440
645	801	439
646	802	437
647	803	436
648	804	435
649	806	434
650	807	433
651	809	432
652	811	431
653	812	429
654	813	428
655	814	427
656	815	425
657	817	424
658	817	423
659	818	421
660	819	420
661	820	419
662	821	417
663	823	416
664	825	415
665	826	414
666	827	413
667	828	411
668	829	410
669	830	409
670	831	407
671	832	406
672	833	405
673	834	403
674	835	402
675	837	401
676	838	400
677	840	399
678	841	397
679	842	396
680	843	395
681	844	393
682	845	392
683	846	391
684	847	389
685	848	388
686	850	387
687	851	385
688	852	384
689	853	383
690	855	382
691	857	381
692	858	380
693	859	378
694	860	377
695	861	376
696	863	375
697	865	374
698	866	373
699	868	372
700	869	370
701	870	369
702	871	368
703	872	366
704	873	365
705	874	364
706	875	363
707	876	361
708	878	360
709	879	359
710	880	357
711	881	356
712	882	355
713	884	354
714	885	352
715	885	351
716	886	349
717	887	348
718	888	347
719	889	345
720	890	344
721	891	343
722	892	341
723	892	340
724	893	338
725	894	337
726	895	336
727	896	335
728	897	333
729	898	332
730	899	330
731	900	329
732	901	328
733	902	326
734	903	325
735	904	324
736	906	323
737	907	322
738	909	321
739	911	320
740	913	319
741	914	318
742	915	316
743	917	315
744	918	314
745	919	313
746	920	311
747	921	310
748	922	309
749	923	307
750	924	306
751	925	305
752	926	303
753	927	302
754	928	301
755	930	300
756	931	299
757	932	297
758	933	296
759	934	295
760	935	293
761	936	292
762	937	291
763	939	290
764	940	288
765	941	287
766	942	286
767	943	285
768	944	283
769	945	282
770	946	281
771	947	279
772	948	278
773	949	277
774	950	276
775	952	274
776	955	274
777	956	273
778	957	271
779	958	270
780	959	269
781	960	267
782	961	266
783	962	265
784	962	263
785	964	262
786	965	261
787	966	259
788	967	258
789	968	257
790	969	256
791	970	254
792	971	253
793	972	252
794	974	251
795	974	249
796	977	248
797	979	247
798	980	246
799	980	245
800	982	244
801	983	242
802	984	241
803	985	240
804	986	239
805	987	237
806	988	236
807	989	235
808	990	233
809	991	232
810	992	231
811	994	230
812	998	229
813	1000	228
814	1000	227
815	1002	226
816	1004	224
817	1005	223
818	1006	222
819	1008	221
820	1010	220
821	1011	218
822	1012	217
823	1013	216
824	1014	215
825	1015	213
826	1016	212
827	1018	211
828	1019	210
829	1020	208
830	1029	209
831	1031	208
832	1036	207
833	1037	206
834	1039	205
835	1040	204
836	1041	202
837	1042	201
838	1044	200
839	1045	199
840	1046	197
841	1047	196
842	1048	195
843	1049	193
844	1050	192
845	1051	191
846	1052	190
847	1053	188
848	1054	187
849	1055	186
850	1056	184
851	1057	183
852	1058	182
853	1059	181
854	1060	179
855	1061	178
856	1062	177
857	1063	175
858	1063	174
859	1065	173
860	1066	172
861	1067	170
862	1068	169
863	1069	168
864	1070	167
865	1071	165
866	1072	164
867	1073	163
868	1074	161
869	1075	160
870	1076	159
871	1077	158
872	1078	156
873	1079	155
874	1080	154
875	1081	153
876	1082	151
877	1083	150
878	1084	149
879	1085	147
880	1085	146
881	1086	145
882	1087	144
883	1089	142
884	1090	141
885	1091	140
886	1092	139
887	1093	137
888	1093	136
889	1094	135
890	1095	134
891	1096	132
892	1097	131
893	1098	130
894	1098	128
895	1099	127
896	1100	126
897	1101	125
898	1102	123
899	1103	122
900	1104	121
901	1105	120
902	1107	118
903	1107	117
904	1109	116
905	1110	115
906	1111	113
907	1112	112
908	1112	111
909	1113	110
910	1114	108
911	1115	107
912	1116	106
913	1117	105
914	1118	103
915	1119	102
916	1119	101
917	1120	100
918	1121	98
919	1122	97
920	1123	96
921	1124	95
922	1125	93
923	1126	92
924	1127	91
925	1127	90
926	1129	88
927	1130	87
928	1131	86
929	1132	85
930	1133	83
931	1134	82
932	1135	81
933	1136	80
934	1137	79
935	1138	77
936	1139	76
937	1140	75
938	1140	74
939	1141	72
940	1142	71
941	1144	70
942	1144	69
943	1145	67
944	1146	66
945	1147	65
946	1148	64
947	1149	63
948	1149	61
949	1150	60
950	1151	59
951	1152	58
952	1152	56
953	1153	55
954	1154	54
955	1155	53
956	1156	51
957	1157	50
958	1158	49
959	1159	48
960	1160	47
961	1161	45
962	1162	44
963	1163	43
964	1165	42
965	1166	41
966	1167	39
967	1168	38
968	1169	37
969	1170	36
970	1171	34
971	1172	33
972	1173	32
973	1174	31
974	1175	30
975	1176	28
976	1177	27
977	1178	26
978	1180	25
979	1181	24
980	1183	22
981	1184	21
982	1185	20
983	1186	19
984	1187	18
985	1188	16
986	1189	15
987	1190	14
988	1192	13
989	1193	12
990	1193	10
991	1195	9
992	1196	8
993	1197	7
994	1198	6
995	1199	4
996	1200	3
997	1201	2
998	1202	1
999	1203	0
