iter	RMSE
180	4.971524905
181	4.966993962
182	4.963983988
183	4.961174253
184	4.956803998
185	4.954053327
186	4.94734151
187	4.943415798
188	4.941683105
189	4.935748136
190	4.929614661
191	4.926154005
192	4.92182697
193	4.918108623
194	4.916091402
195	4.913097294
196	4.910537359
197	4.907682159
198	4.901797367
199	4.898195879
200	4.893195445
201	4.887681188
202	4.884646872
203	4.882617678
204	4.878156197
205	4.874012759
206	4.872895518
207	4.867978158
208	4.867590853
209	4.863896091
210	4.860642513
211	4.859666502
212	4.857675725
213	4.854098999
214	4.851604169
215	4.846034273
216	4.842151357
217	4.839301431
218	4.835136997
219	4.832737415
220	4.828403177
221	4.827295919
222	4.825273616
223	4.821408403
224	4.820901602
225	4.818017727
226	4.816563163
227	4.815307126
228	4.811804514
229	4.805389599
230	4.805068077
231	4.801189949
232	4.798886078
233	4.792492477
234	4.787285383
235	4.787066826
236	4.779677505
237	4.772937555
238	4.772610843
239	4.76714772
240	4.763936175
241	4.760561207
242	4.758156169
243	4.756586246
244	4.756038952
245	4.752718771
246	4.746382419
247	4.741477831
248	4.739741833
249	4.737919194
250	4.73545978
251	4.730612105
252	4.72888496
253	4.723859194
254	4.723552922
255	4.718956974
256	4.714678654
257	4.714393309
258	4.711538762
259	4.709019067
260	4.704181926
261	4.70052483
262	4.700167266
263	4.69450848
264	4.692234841
265	4.686591748
266	4.682760708
267	4.679690827
268	4.67541332
269	4.672395432
270	4.670439688
271	4.669123504
272	4.66771359
273	4.664878016
274	4.664340412
275	4.663912325
276	4.659681903
277	4.653126969
278	4.647669541
279	4.646735607
280	4.643747925
281	4.643340685
282	4.638106998
283	4.63038917
284	4.626990949
285	4.626689647
286	4.624555242
287	4.619559187
288	4.617557915
289	4.616196663
290	4.612799396
291	4.610584681
292	4.6067158
293	4.600611152
294	4.597221444
295	4.592288074
296	4.58657721
297	4.582282416
298	4.57806742
299	4.573880219
300	4.568627971
301	4.563917962
302	4.558916088
303	4.555664477
304	4.550412533
305	4.548521419
306	4.544206936
307	4.541254404
308	4.539407341
309	4.534935929
310	4.530289648
311	4.529922139
312	4.529717329
313	4.528067434
314	4.527554793
315	4.523835808
316	4.519880743
317	4.516423352
318	4.513162738
319	4.509194036
320	4.508963421
321	4.505824037
322	4.501592698
323	4.500031514
324	4.497450762
325	4.492586749
326	4.490705013
327	4.484867706
328	4.48030252
329	4.475520581
330	4.470678995
331	4.466754415
332	4.466531538
333	4.462172111
334	4.458105176
335	4.456447317
336	4.450976811
337	4.447547097
338	4.442473434
339	4.438807542
340	4.436377272
341	4.432681623
342	4.4290543
343	4.42564011
344	4.42216853
345	4.419405579
346	4.417604887
347	4.415239096
348	4.412475646
349	4.408579105
350	4.403930436
351	4.39951631
352	4.399300194
353	4.396107171
354	4.39144374
355	4.391228196
356	4.388028247
357	4.384400655
358	4.381421209
359	4.377817603
360	4.374919653
361	4.374613253
362	4.371409572
363	4.368954314
364	4.366211845
365	4.360084069
366	4.356848743
367	4.354984704
368	4.353758806
369	4.349344125
370	4.34532333
371	4.343758242
372	4.343569663
373	4.341966459
374	4.337369333
375	4.333704509
376	4.332691929
377	4.328612534
378	4.323369951
379	4.321913776
380	4.320839036
381	4.31792974
382	4.314097927
383	4.311364732
384	4.309211919
385	4.308184479
386	4.30469789
387	4.301279036
388	4.297200246
389	4.294657588
390	4.290673802
391	4.287681358
392	4.284402375
393	4.279906014
394	4.276570199
395	4.271297478
396	4.267081664
397	4.265223853
398	4.261966986
399	4.258611584
400	4.256451597
401	4.256267696
402	4.256105622
403	4.255474162
404	4.254140329
405	4.250284523
406	4.247333479
407	4.245962204
408	4.243461482
409	4.23974843
410	4.236180218
411	4.234463635
412	4.232021091
413	4.228767542
414	4.225223193
415	4.225045534
416	4.223986157
417	4.221455072
418	4.217371457
419	4.214075139
420	4.210881481
421	4.207418324
422	4.205244834
423	4.204872735
424	4.204694796
425	4.203770577
426	4.200945099
427	4.200695127
428	4.197091813
429	4.194431579
430	4.192019882
431	4.188994947
432	4.187672613
433	4.186408811
434	4.181465046
435	4.18108397
436	4.177737783
437	4.176686917
438	4.175815852
439	4.175583728
440	4.172442843
441	4.168259676
442	4.165037427
443	4.160184151
444	4.157483868
445	4.153761381
446	4.153584784
447	4.149536607
448	4.147535722
449	4.146361637
450	4.143958877
451	4.141711237
452	4.137910457
453	4.134069697
454	4.131939642
455	4.128073457
456	4.125905978
457	4.123017118
458	4.122699222
459	4.1191301
460	4.115440143
461	4.112166167
462	4.111641283
463	4.109670004
464	4.106655009
465	4.104161234
466	4.101784702
467	4.097758964
468	4.093563714
469	4.093119482
470	4.091729624
471	4.088037414
472	4.084791775
473	4.081382087
474	4.078958843
475	4.076307623
476	4.072712488
477	4.070743467
478	4.065974387
479	4.065766664
480	4.065684027
481	4.062725752
482	4.061892065
483	4.059175142
484	4.057870212
485	4.053676879
486	4.053476181
487	4.050197499
488	4.047884556
489	4.044457327
490	4.042117517
491	4.041987673
492	4.04038031
493	4.037027193
494	4.036834081
495	4.034541792
496	4.03186516
497	4.029300331
498	4.026380452
499	4.025333715
500	4.02180214
501	4.019318172
502	4.015425385
503	4.012269028
504	4.010402623
505	4.010300227
506	4.008285472
507	4.007177092
508	4.005403906
509	4.000380637
510	3.999618081
511	3.995949145
512	3.994009219
513	3.990443594
514	3.987719497
515	3.983644785
516	3.982605789
517	3.979564425
518	3.979297551
519	3.975610383
520	3.975373939
521	3.973168136
522	3.971706979
523	3.969249835
524	3.967445102
525	3.96417486
526	3.963212153
527	3.962290081
528	3.961499802
529	3.958224841
530	3.956013108
531	3.953349762
532	3.949496443
533	3.949359512
534	3.948630066
535	3.94397671
536	3.941022364
537	3.938939084
538	3.935887388
539	3.932998779
540	3.929834704
541	3.926441895
542	3.923884789
543	3.920864885
544	3.91828128
545	3.915522086
546	3.913377441
547	3.912372053
548	3.91034719
549	3.910060568
550	3.90919213
551	3.909093653
552	3.907179845
553	3.904925433
554	3.903934482
555	3.900678485
556	3.899252068
557	3.896302814
558	3.893285583
559	3.890482557
560	3.888980387
561	3.886739498
562	3.884173773
563	3.881705972
564	3.879582149
565	3.876222062
566	3.876014049
567	3.87571887
568	3.875562835
569	3.87519903
570	3.873343554
571	3.871859031
572	3.870966513
573	3.870733158
574	3.86756321
575	3.867471256
576	3.867338398
577	3.864478116
578	3.863732428
579	3.863083651
580	3.860965683
581	3.857176175
582	3.854322371
583	3.852442403
584	3.851739833
585	3.848275645
586	3.846922825
587	3.846757747
588	3.84460486
589	3.843471175
590	3.840817557
591	3.839947371
592	3.838443948
593	3.837809586
594	3.83637996
595	3.832454455
596	3.829631586
597	3.828767261
598	3.825812392
599	3.823277428
600	3.820882077
601	3.819130167
602	3.817465355
603	3.813329166
604	3.811078392
605	3.811009201
606	3.807574501
607	3.804767707
608	3.802380806
609	3.798326654
610	3.798258276
611	3.796317812
612	3.793980672
613	3.793493116
614	3.792650314
615	3.792538375
616	3.792391988
617	3.789953961
618	3.786366385
619	3.784926664
620	3.784061106
621	3.78262512
622	3.780793655
623	3.779159132
624	3.779023493
625	3.774735959
626	3.773271193
627	3.770951541
628	3.769437799
629	3.765960819
630	3.765885045
631	3.764021786
632	3.761359593
633	3.758870635
634	3.756827026
635	3.754346106
636	3.751916797
637	3.749541845
638	3.747767989
639	3.746145947
640	3.743258582
641	3.740116865
642	3.740045572
643	3.736739771
644	3.734090465
645	3.729841583
646	3.727606113
647	3.727093123
648	3.725145799
649	3.72224807
650	3.720757525
651	3.71936134
652	3.717829983
653	3.717735362
654	3.7157939
655	3.714058986
656	3.712710424
657	3.712169573
658	3.710024006
659	3.706608464
660	3.704598399
661	3.703818729
662	3.702344174
663	3.699615496
664	3.697937674
665	3.697632311
666	3.695873895
667	3.693886134
668	3.692561347
669	3.690266403
670	3.687461947
671	3.686063653
672	3.685820021
673	3.684818178
674	3.683447228
675	3.681250545
676	3.678586334
677	3.676440795
678	3.676058018
679	3.673109732
680	3.671311026
681	3.668765831
682	3.668654697
683	3.667932553
684	3.666512155
685	3.664783657
686	3.663429018
687	3.663148146
688	3.659554015
689	3.656096507
690	3.653420795
691	3.651068288
692	3.650427886
693	3.649302338
694	3.649006738
695	3.648000737
696	3.647571274
697	3.645796877
698	3.644932745
699	3.642548109
700	3.639903098
701	3.638564721
702	3.634692992
703	3.632139005
704	3.62962388
705	3.628989025
706	3.628901007
707	3.628364647
708	3.628024135
709	3.627508377
710	3.625263865
711	3.623901148
712	3.623816204
713	3.621908857
714	3.619702628
715	3.619602834
716	3.617212952
717	3.615974341
718	3.612331064
719	3.610026492
720	3.608505824
721	3.605314392
722	3.603298655
723	3.602187572
724	3.601729628
725	3.599267008
726	3.598900242
727	3.597173217
728	3.596529619
729	3.594287433
730	3.592096919
731	3.591294984
732	3.589539375
733	3.589127842
734	3.58774752
735	3.584826307
736	3.583802643
737	3.583376381
738	3.58158063
739	3.580530974
740	3.579667075
741	3.57725262
742	3.574192288
743	3.572534746
744	3.569583194
745	3.566871065
746	3.564444234
747	3.563877277
748	3.563608796
749	3.561205093
750	3.560012566
751	3.557581137
752	3.554135917
753	3.553129599
754	3.551991137
755	3.548459551
756	3.54836091
757	3.545351091
758	3.544814028
759	3.542239491
760	3.54200232
761	3.541613595
762	3.538913379
763	3.537820421
764	3.533438205
765	3.531037133
766	3.527946207
767	3.52570917
768	3.52126743
769	3.51877504
770	3.517162992
771	3.516579837
772	3.514845228
773	3.514794299
774	3.514133051
775	3.511122279
776	3.508402797
777	3.507339128
778	3.505868779
779	3.503785128
780	3.501639431
781	3.500930094
782	3.50066383
783	3.499638916
784	3.496224297
785	3.495792733
786	3.493431997
787	3.493322202
788	3.49251497
789	3.490233572
790	3.488565585
791	3.48821312
792	3.485922615
793	3.483168643
794	3.482370782
795	3.480271579
796	3.478001338
797	3.476273502
798	3.475921439
799	3.473735242
800	3.473679084
801	3.472424648
802	3.471159358
803	3.468840436
804	3.468368874
805	3.463982056
806	3.462677688
807	3.460979764
808	3.459778106
809	3.458460665
810	3.455841519
811	3.455814775
812	3.45351877
813	3.451440484
814	3.449962616
815	3.447496661
816	3.44546228
817	3.443535226
818	3.443286998
819	3.440903615
820	3.438978873
821	3.437978656
822	3.43600862
823	3.435579147
824	3.433637475
825	3.432652493
826	3.43249647
827	3.43237162
828	3.432316416
829	3.429132037
830	3.427348896
831	3.426058386
832	3.423058137
833	3.421223003
834	3.420449939
835	3.418101158
836	3.41516555
837	3.41512429
838	3.41188692
839	3.410754977
840	3.408222142
841	3.407798848
842	3.407199616
843	3.403997019
844	3.402458232
845	3.400200516
846	3.39825648
847	3.395182259
848	3.392703556
849	3.39125658
850	3.389064901
851	3.387153906
852	3.386468461
853	3.384360107
854	3.382108061
855	3.380182791
856	3.379633847
857	3.377822516
858	3.375476937
859	3.373959035
860	3.373421887
861	3.37244663
862	3.370121063
863	3.369388118
864	3.366978899
865	3.364827335
866	3.363248778
867	3.360606148
868	3.359597321
869	3.35791033
870	3.356001056
871	3.354924605
872	3.354437481
873	3.353880677
874	3.352218667
875	3.35177154
876	3.35127588
877	3.349611539
878	3.348987217
879	3.348896009
880	3.34693458
881	3.345829252
882	3.345511976
883	3.344084971
884	3.343968983
885	3.341629489
886	3.33953221
887	3.338076468
888	3.337352616
889	3.336900188
890	3.334151383
891	3.332697351
892	3.32995423
893	3.327937164
894	3.327735529
895	3.327152081
896	3.326299497
897	3.324528367
898	3.32391229
899	3.323440361
900	3.321888838
901	3.321637034
902	3.319833954
903	3.318505245
904	3.316086926
905	3.314598914
906	3.312065641
907	3.310427806
908	3.309232311
909	3.306089503
910	3.30430886
911	3.300624514
912	3.29842699
913	3.298178663
914	3.295293025
915	3.295109196
916	3.292067273
917	3.291869672
918	3.290216138
919	3.288545023
920	3.288332565
921	3.288043392
922	3.287085356
923	3.286655664
924	3.28505125
925	3.284590862
926	3.281166405
927	3.279133126
928	3.277752517
929	3.275263194
930	3.27338221
931	3.270850584
932	3.269838476
933	3.26782437
934	3.266762496
935	3.264407822
936	3.263813891
937	3.263760392
938	3.263648973
939	3.262290247
940	3.261234854
941	3.259282071
942	3.258587255
943	3.257608924
944	3.255299546
945	3.254000509
946	3.252786976
947	3.252749066
948	3.251025001
949	3.250877334
950	3.250113977
951	3.247043749
952	3.245444673
953	3.242962271
954	3.242679167
955	3.242573194
956	3.240239349
957	3.239836698
958	3.238421866
959	3.238290304
960	3.236221953
961	3.234863932
962	3.233751001
963	3.233400642
964	3.232592375
965	3.231187788
966	3.22832122
967	3.226647567
968	3.225162869
969	3.22357656
970	3.223228213
971	3.221947812
972	3.220680263
973	3.218596944
974	3.218456777
975	3.216110499
976	3.213961812
977	3.212790042
978	3.212490031
979	3.21203693
980	3.209858414
981	3.208362066
982	3.208019196
983	3.204787309
984	3.202946275
985	3.201801385
986	3.201398984
987	3.200897708
988	3.19801713
989	3.197263448
990	3.195823543
991	3.19540712
992	3.194589891
993	3.19281953
994	3.190044471
995	3.188164
996	3.188109362
997	3.186591723
998	3.184619968
999	3.184364207
